card_name,card_bank,card_brand,card_network,card_type,card_url,card_link,card_af,card_ftf,card_btf,card_apr,card_caf,card_lpf,card_chip,card_embossed,card_material,card_il,card_ttp,card_weight,card_color,card_redemption,card_caapr,card_btapr,card_lpapr,card_subv,card_subq,card_subt,card_auc
Chase Sapphire Preferred Card,Chase Bank,,Visa,Personal,sapphire-preferred,https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred?CELL=6TKV,95,0,5|5,21.49-28.49,10|5,<=40,True,,Metal,Back,True,13,#08345d,Points,29.99,21.49-28.49,29.99,60000,4000,3,0
Chase Sapphire Reserve,Chase Bank,,Visa,Personal,sapphire-reserve,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve?CELL=6TKV,550,0,5|5,22.49-29.49,10|5,<=40,True,,Metal,Back,True,13,#102e48,Points,29.99,22.49-29.49,29.99,60000,4000,3,75
American Express Gold Card,American Express,,AmericanExpress,Personal,amex-gold,https://card.americanexpress.com/d/gold-card/,325,0,,21.24-29.24,10|5,<=40,True,,Metal,Back,True,15,#c1b064,Points,29.99,,29.99,90000,6000,6,0
Capital One Venture Rewards Mastercard,Capital One,,Mastercard,Personal,venture-rewards,https://www.capitalone.com/credit-cards/venture/,95,0,4,19.99|26.24|29.99,5|5,<=40,True,,Metal,Back,True,,#031839,Miles,29.99,,,75000,4000,3,0
QuicksilverOne from Capital One Mastercard,Capital One,,Mastercard,Personal,quicksilver-one,https://www.capitalone.com/credit-cards/quicksilverone/,39,0,4,29.99,5|5,40,True,,,,True,,#7892a8,CashBack,29.99,29.99,,,,,0
Citi Double Cash Card,Citi,,Mastercard,Personal,citi-double-cash,https://www.citi.com/usc/LPACA/Citi/Cards/DoubleCash/ps_A/index.html,0,3,5|5,19.24-29.24,10|5,,True,,Plastic,,True,,#218a61,CashBack,29.99,19.24-29.24,29.99,20000,1500,6,
Discover it Cash Back,Discover,,Discover,Personal,discover-it,https://www.discover.com/credit-cards/cash-back/it-card.html,0,0,5,18.24-28.24,10|5,<=41,True,,Plastic,Back,True,,#81c1d9,CashBack,29.99,18.24-28.24,,,,,
Discover it Miles,Discover,,Discover,Personal,discover-it-miles,https://www.discover.com/credit-cards/travel/,0,0,5,18.24-28.24,10|5,<=41,True,,Plastic,Back,True,,#1257ab,Miles,29.99,18.24-28.24,,,,,
Blue Cash Preferred Card from American Express,American Express,,AmericanExpress,Personal,amex-blue,https://card.americanexpress.com/d/blue-cash-preferred-credit-card/,95,2.7,5|3,19.24-29.99,10|5,<=40,True,,Plastic,,True,,#273653,CashBack,29.99,19.24-29.99,29.99,30000,3000,6,
Wells Fargo Active Cash Card,Wells Fargo,,Visa,Personal,wf-active-cash,https://creditcards.wellsfargo.com/cards/active-cash-credit-card/,0,3,5|5,20.24|25.24|29.99,10|5,<=40,True,,,,True,,#684e52,CashBack,29.99,20.24|25.24|29.99,,20000,500,3,
Bank of America Customized Cash Rewards Credit Card,Bank of America,,Visa,Personal,bofa-ccr,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,0,3,4,19.24-29.24,4,<=40,True,,Plastic,Back,True,5,#b31a26,CashBack,22.24-29.24,19.24-29.24,29.99,20000,1000,3,
US Bank Altitude Go Visa Signature Card,US Bank,,Visa,Personal,usb-altitude,https://www.usbank.com/credit-cards/altitude-go-visa-signature-credit-card.html,0,3,5|3,18.24-29.24,10|5,<=41,True,,Metal,,True,12,#cd1d2a,Points,32.24,18.24-29.24,0,20000,1000,3,
Hilton Honors American Express Aspire Card,American Express,Hilton,AmericanExpress,Personal,hilton-honors,https://card.americanexpress.com/d/hilton-honors-aspire-credit-card/,550,0,,20.99-29.99,10|5,<=40,True,,,,True,,#0c2b4f,Points,29.99,,29.99,150000,6000,6,
Marriott Bonvoy Brilliant American Express Card,American Express,Marriott,AmericanExpress,Personal,marriott-brilliant,https://card.americanexpress.com/d/bonvoy-brilliant-credit-card/,650,0,,20.99-29.99,10|5,<=40,True,,Metal,,True,15,#080808,Points,29.99,,29.99,185000,6000,6,
American Express Platinum Card,American Express,,AmericanExpress,Personal,amex-platinum,https://card.americanexpress.com/d/platinum-card/,695,0,,21.24-29.24,10|5,<=40,True,,Metal,,True,17,#dddfe1,Points,29.99,,29.99,175000,8000,6,
Citi Strata Premier Card,Citi,,Mastercard,Personal,citi-premier,https://www.citi.com/usc/lpaca/citi/rewards/stratapremier/ps/index.html,95,0,5|5,21.24-29.24,10|5,,True,,,,True,,#76767b,Points,29.99,21.24-29.24,29.99,70000,3000,3,
Chase Freedom Flex,Chase Bank,,Mastercard,Personal,chase-freedom-flex,https://creditcards.chase.com/a1/freedom/CFDFlex924,0,3,5|5,20.49-29.24,10|5,<=40,True,True,Plastic,,True,,#1a9cd5,CashBack,29.99,20.49-29.24,29.99,15000,500,3,
Chase Freedom Unlimited,Chase Bank,,Visa,Personal,chase-freedom-unlimited,https://creditcards.chase.com/a1/freedom/CFDUnl924,0,3,5|5,20.49-29.24,10|5,<=40,True,True,Plastic,Front,True,5,#22396a,CashBack,29.99,20.49-29.24,29.99,15000,500,3,
Capital One SavorOne Cash Rewards Credit Card,Capital One,,Mastercard,Personal,C1-SavorOne,https://www.capitalone.com/credit-cards/savorone-dining-rewards/,0,3,4,19.99|26.24|29.99,5|5,<=40,True,,,,True,,#cf7b52,CashBack,29.99,19.99|26.24|29.99,,20000,500,3,0
PenFed Pathfinder Rewards Visa Signature,Pentagon Federal,,Visa,Personal,penfed-pathfinder,https://www.penfed.org/credit-cards/pathfinder-rewards-visa,95,0,3,17.99,0,<=28,True,,Plastic,,True,,#7e8285,Points,17.99,17.99,,50000,3000,3,
TD Bank TD Cash Credit Card,TD Bank,,Visa,Personal,TD-cash,https://www.td.com/us/en/personal-banking/credit-cards/cash-card,0,3,5|3,20.24|25.24|30.24,10|5,<=40,True,,,,True,,#285032,CashBack,30.49,20.24|25.24|30.24,,15000,1000,3,
Discover it Student Cash Back,Discover,,Discover,Student,discover-it-student,https://www.discover.com/credit-cards/student-credit-card/it-card.html?ICMPGN=SUBNAV_CCP_STUDENT_IT,0,0,5,18.24-27.24,10|5,<=41,True,,Plastic,,True,,#81c1d9,CashBack,29.99,18.24-27.24,0,,,,
Capital One SavorOne Student Cash Rewards Credit Card,Capital One,,Mastercard,Student,C1-SavorOne-student,https://www.capitalone.com/credit-cards/savorone-student/,0,0,4,19.99|26.24|29.99,5|5,<=40,True,,,,True,,#cf7b52,CashBack,29.99,19.99|26.24|29.99,,5000,100,3,
Chase Freedom Rise,Chase Bank,,Visa,Personal,chase-freedom-rise,https://creditcards.chase.com/a1/freedom/rise24,0,3,5|5,26.99,10|5,<=40,True,,Plastic,,True,,#1185b2,CashBack,29.99,26.99,29.99,,,,
Bank of America Unlimited Cash Rewards for Students,Bank of America,,Visa,Student,bofa-unlimited,https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-student-credit-card/,0,3,4,19.24-29.24,4,<=40,True,,Plastic,,True,,#96979a,CashBack,22.24-29.24,19.24-29.24,29.99,20000,1000,3,
Chase Ink Business Cash Credit Card,Chase Bank,,Visa,Business,chase-ink-cash,https://creditcards.chase.com/a1/DAO/ink-business/universal/cash/24/900,0,3,5|5,18.49-24.49,15|5,<=40,True,,,,True,,#646a71,CashBack,29.99,18.49-24.49,29.99,35000,3000,3,
Chase Ink Business Unlimited Credit Card,Chase Bank,,Visa,Business,chase-ink-unlimited,https://creditcards.chase.com/a1/DAO/ink-business/universal/24/900,0,3,5|5,18.49-24.49,15|5,<=40,True,,,,True,,#272e35,CashBack,29.99,18.49-24.49,29.99,90000,6000,3,
American Express Business Gold Card,American Express,,AmericanExpress,Business,amex-gold-business,https://creditcard.americanexpress.com/d/business-gold-card/,375,0,,19.49-28.49,,39|2.99,True,,Metal,,True,,#c1b064,Points,,,29.99,100000,15000,3,
Capital One Spark Cash Plus,Capital One,,Mastercard,Business,C1-spark,https://www.capitalone.com/small-business/credit-cards/spark-cash-plus/,150,0,,,5|5,2.99%,True,,,,True,,#033f23,CashBack,,,,200000,30000,3,
American Express Blue Business Cash Card,American Express,,AmericanExpress,Business,amex-blue-business,https://creditcard.americanexpress.com/d/business-bluecash-credit-card/,0,2.7,5|3,18.49-26.49,,<=39,True,,,,True,,#295488,CashBack,,,29.99,25000,3000,3,
Chase Ink Business Preferred Credit Card,Chase Bank,,Visa,Business,chase-ink-preferred,https://creditcards.chase.com/a1/DAO/ink-business/universal/preferred/24/900,95,0,5|5,21.24-26.24,15|5,<=40,True,,,,True,,#122a4f,Points,29.99,21.24-26.24,29.99,90000,8000,3,
Capital One Spark Miles for Business,Capital One,,Mastercard,Business,C1-spark-miles,https://www.capitalone.com/small-business/credit-cards/spark-miles/,95,0,0,26.24,5|5,<=39,True,,,,True,,#013773,Points,26.24,,34.65,50000,4500,3,
The Business Platinum Card from American Express,American Express,,AmericanExpress,Business,amex-platinum-business,https://creditcard.americanexpress.com/d/business-platinum-card/,695,0,,19.49-28.49,,39|2.99,True,,,,True,,#dddfe1,Points,,,29.99,150000,20000,3,
U.S. Bank Business Leverage Visa Signature Card,US Bank,,Visa,Business,usb-business-leverage,https://www.usbank.com/business-banking/business-credit-cards/business-leverage-rewards-credit-card.html,95,0,5|5,19.99-26.99,10|5,<=41,True,,,,True,,#326f78,CashBack,32.24,19.99-26.99,29.99,75000,7500,4,
Bank of America Business Advantage Customized Cash Rewards Mastercard,Bank of America,,Mastercard,Business,bofa-business-ccr,https://promotions.bankofamerica.com/smallbusiness/smallbusinesscards,0,3,4,18.49-28.49,4,<=49,True,,,,True,,#b31a26,CashBack,29.49,18.49-28.49,0,30000,3000,3,
Apple Card,Goldman Sachs,Apple,Mastercard,Personal,apple,https://learn.applecard.apple/apply,0,0,,19.24-29.49,,0,True,,Metal,NoNumber,True,15,#e6e3e5,CashBack,,,,,,,
Seen Mastercard,Coastal Community Bank,Seen.com,Mastercard,Personal,seen_mastercard,https://seen.com,0-75,0,,29.99|35.99,,25,True,,,,True,,#051569,None,,,0,,,,
Costco Anywhere Visa,Citi,Costco,Visa,Personal,costco,https://www.citi.com/usc/LPACA/COSTCO/cards/Dual/ps/index.html,0,0,5|5,20.49,10|5,,True,,Plastic,,True,,#76767e,StoreCredit,29.99,20.49,29.99,,,,
Costco Anywhere Visa Business,Citi,Costco,Visa,Business,costco-businesss,https://www.citi.com/usc/LPACA/COSTCO/cards/Dual/ps/index.html,0,0,,20.49,10|5,,True,,,,True,,#76767e,StoreCredit,29.99,,29.99,,,,
Bilt World Elite Mastercard,Wells Fargo,Bilt,Mastercard,Personal,bilt,https://www.biltrewards.com/card,0,0,5|5,21.49|24.49|29.49,10|5,<=40,True,,Metal,,True,,#171718,Points,29.24,21.49|24.49|29.49,,,,,
REI Co-op Mastercard,Capital One,REI,Mastercard,Personal,rei,https://www.capitalone.com/credit-cards/rei/,0,0,3,19.24|26.24|30.24,5|5,<=40,True,,Plastic,,True,,#225140,StoreCredit,30.24,19.24|26.24|30.24,,,,,
Marriott Bonvoy Bold Credit Card from Chase,Chase Bank,Marriott,Visa,Personal,marriott-bold,https://creditcards.chase.com/a1/marriottbonvoybold/aep/LTO,0,0,5|5,21.49-28.49,10|5,<=40,True,,,,True,,#788fa9,Points,29.99,21.49-28.49,29.99,60000,2000,3,
Marriott Bonvoy Boundless Credit Card from Chase,Chase Bank,Marriott,Visa,Personal,marriott-boundless,https://creditcards.chase.com/a1/marriottbonvoyboundless/aep/LTO,95,0,5|5,21.49-28.49,10|5,<=40,True,,,,True,,#21385b,Points,29.99,21.49-28.49,29.99,125000,5000,3,
Marriott Bonvoy Bevy American Express Card,American Express,Marriott,AmericanExpress,Personal,marriott-bevy,https://www.americanexpress.com/en-us/credit-cards/details/personal/marriott/marriott-bonvoy-american-express-cards/ep-mar-mic-1759,250,0,,20.99-29.99,10|5,<=40,True,,,,True,,#50504f,Points,29.99,,29.99,155000,5000,6,
Marriott Bonvoy Business American Express Card,American Express,Marriott,AmericanExpress,Business,marriott-business,https://www.marriott.com/credit-cards/marriott-bonvoy-business-american-express-card.mi,125,,,20.99-29.99,5|3,<=39,True,,,,True,,#8293a8,Points,29.99,,29.99,250000,8000,6,
Amazon Prime Visa,Chase Bank,Amazon,Visa,Personal,amazon,https://www.amazon.com/dp/BT00LN946S,0,0,5|4,20.49-29.24,5|4,<=39,True,,Metal,,True,13,#c0c0c0,CashBack,29.99,20.49-29.24,29.99,5000,,,
